year,asmr_persons_per_100k
2006,1199.0
2007,1185.0
2008,1163.0
2009,1116.0
2010,1101.0
2011,1071.0
2012,1059.0
2013,1041.0
2014,1018.0
2015,1041.0
2016,1023.0
2017,1023.0
2018,1014.0
2019,991.0
2020,1085.0
2021,1057.0
2022,1043.0
2023,1028.0
