week_ending,age_band,observed_deaths,edition_year,is_final,source_filename
2010-01-08,1-14,24,2010,False,2010_publishedweek2010.xls
2010-01-15,1-14,29,2010,False,2010_publishedweek2010.xls
2010-01-22,1-14,18,2010,False,2010_publishedweek2010.xls
2010-01-29,1-14,21,2010,False,2010_publishedweek2010.xls
2010-02-05,1-14,18,2010,False,2010_publishedweek2010.xls
2010-02-12,1-14,28,2010,False,2010_publishedweek2010.xls
2010-02-19,1-14,17,2010,False,2010_publishedweek2010.xls
2010-02-26,1-14,27,2010,False,2010_publishedweek2010.xls
2010-03-05,1-14,31,2010,False,2010_publishedweek2010.xls
2010-03-12,1-14,28,2010,False,2010_publishedweek2010.xls
2010-03-19,1-14,24,2010,False,2010_publishedweek2010.xls
2010-03-26,1-14,32,2010,False,2010_publishedweek2010.xls
2010-04-02,1-14,16,2010,False,2010_publishedweek2010.xls
2010-04-09,1-14,19,2010,False,2010_publishedweek2010.xls
2010-04-16,1-14,21,2010,False,2010_publishedweek2010.xls
2010-04-23,1-14,31,2010,False,2010_publishedweek2010.xls
2010-04-30,1-14,19,2010,False,2010_publishedweek2010.xls
2010-05-07,1-14,13,2010,False,2010_publishedweek2010.xls
2010-05-14,1-14,25,2010,False,2010_publishedweek2010.xls
2010-05-21,1-14,22,2010,False,2010_publishedweek2010.xls
2010-05-28,1-14,26,2010,False,2010_publishedweek2010.xls
2010-06-04,1-14,20,2010,False,2010_publishedweek2010.xls
2010-06-11,1-14,14,2010,False,2010_publishedweek2010.xls
2010-06-18,1-14,18,2010,False,2010_publishedweek2010.xls
2010-06-25,1-14,15,2010,False,2010_publishedweek2010.xls
2010-07-02,1-14,22,2010,False,2010_publishedweek2010.xls
2010-07-09,1-14,20,2010,False,2010_publishedweek2010.xls
2010-07-16,1-14,26,2010,False,2010_publishedweek2010.xls
2010-07-23,1-14,19,2010,False,2010_publishedweek2010.xls
2010-07-30,1-14,15,2010,False,2010_publishedweek2010.xls
2010-08-06,1-14,17,2010,False,2010_publishedweek2010.xls
2010-08-13,1-14,20,2010,False,2010_publishedweek2010.xls
2010-08-20,1-14,20,2010,False,2010_publishedweek2010.xls
2010-08-27,1-14,13,2010,False,2010_publishedweek2010.xls
2010-09-03,1-14,13,2010,False,2010_publishedweek2010.xls
2010-09-10,1-14,22,2010,False,2010_publishedweek2010.xls
2010-09-17,1-14,21,2010,False,2010_publishedweek2010.xls
2010-09-24,1-14,19,2010,False,2010_publishedweek2010.xls
2010-10-01,1-14,23,2010,False,2010_publishedweek2010.xls
2010-10-08,1-14,24,2010,False,2010_publishedweek2010.xls
2010-10-15,1-14,28,2010,False,2010_publishedweek2010.xls
2010-10-22,1-14,22,2010,False,2010_publishedweek2010.xls
2010-10-29,1-14,23,2010,False,2010_publishedweek2010.xls
2010-11-05,1-14,21,2010,False,2010_publishedweek2010.xls
2010-11-12,1-14,16,2010,False,2010_publishedweek2010.xls
2010-11-19,1-14,11,2010,False,2010_publishedweek2010.xls
2010-11-26,1-14,23,2010,False,2010_publishedweek2010.xls
2010-12-03,1-14,19,2010,False,2010_publishedweek2010.xls
2010-12-10,1-14,29,2010,False,2010_publishedweek2010.xls
2010-12-17,1-14,23,2010,False,2010_publishedweek2010.xls
2010-12-24,1-14,35,2010,False,2010_publishedweek2010.xls
2010-12-31,1-14,21,2010,False,2010_publishedweek2010.xls
2011-01-07,1-14,30,2011,False,2011_publishedweek2011.xls
2011-01-14,1-14,32,2011,False,2011_publishedweek2011.xls
2011-01-21,1-14,18,2011,False,2011_publishedweek2011.xls
2011-01-28,1-14,29,2011,False,2011_publishedweek2011.xls
2011-02-04,1-14,19,2011,False,2011_publishedweek2011.xls
2011-02-11,1-14,18,2011,False,2011_publishedweek2011.xls
2011-02-18,1-14,16,2011,False,2011_publishedweek2011.xls
2011-02-25,1-14,17,2011,False,2011_publishedweek2011.xls
2011-03-04,1-14,27,2011,False,2011_publishedweek2011.xls
2011-03-11,1-14,21,2011,False,2011_publishedweek2011.xls
2011-03-18,1-14,29,2011,False,2011_publishedweek2011.xls
2011-03-25,1-14,24,2011,False,2011_publishedweek2011.xls
2011-04-01,1-14,35,2011,False,2011_publishedweek2011.xls
2011-04-08,1-14,25,2011,False,2011_publishedweek2011.xls
2011-04-15,1-14,27,2011,False,2011_publishedweek2011.xls
2011-04-22,1-14,19,2011,False,2011_publishedweek2011.xls
2011-04-29,1-14,20,2011,False,2011_publishedweek2011.xls
2011-05-06,1-14,19,2011,False,2011_publishedweek2011.xls
2011-05-13,1-14,19,2011,False,2011_publishedweek2011.xls
2011-05-20,1-14,20,2011,False,2011_publishedweek2011.xls
2011-05-27,1-14,21,2011,False,2011_publishedweek2011.xls
2011-06-03,1-14,17,2011,False,2011_publishedweek2011.xls
2011-06-10,1-14,23,2011,False,2011_publishedweek2011.xls
2011-06-17,1-14,18,2011,False,2011_publishedweek2011.xls
2011-06-24,1-14,19,2011,False,2011_publishedweek2011.xls
2011-07-01,1-14,10,2011,False,2011_publishedweek2011.xls
2011-07-08,1-14,21,2011,False,2011_publishedweek2011.xls
2011-07-15,1-14,13,2011,False,2011_publishedweek2011.xls
2011-07-22,1-14,21,2011,False,2011_publishedweek2011.xls
2011-07-29,1-14,25,2011,False,2011_publishedweek2011.xls
2011-08-05,1-14,19,2011,False,2011_publishedweek2011.xls
2011-08-12,1-14,12,2011,False,2011_publishedweek2011.xls
2011-08-19,1-14,10,2011,False,2011_publishedweek2011.xls
2011-08-26,1-14,12,2011,False,2011_publishedweek2011.xls
2011-09-02,1-14,17,2011,False,2011_publishedweek2011.xls
2011-09-09,1-14,17,2011,False,2011_publishedweek2011.xls
2011-09-16,1-14,27,2011,False,2011_publishedweek2011.xls
2011-09-23,1-14,20,2011,False,2011_publishedweek2011.xls
2011-09-30,1-14,22,2011,False,2011_publishedweek2011.xls
2011-10-07,1-14,16,2011,False,2011_publishedweek2011.xls
2011-10-14,1-14,18,2011,False,2011_publishedweek2011.xls
2011-10-21,1-14,16,2011,False,2011_publishedweek2011.xls
2011-10-28,1-14,17,2011,False,2011_publishedweek2011.xls
2011-11-04,1-14,20,2011,False,2011_publishedweek2011.xls
2011-11-11,1-14,30,2011,False,2011_publishedweek2011.xls
2011-11-18,1-14,15,2011,False,2011_publishedweek2011.xls
2011-11-25,1-14,16,2011,False,2011_publishedweek2011.xls
2011-12-02,1-14,22,2011,False,2011_publishedweek2011.xls
2011-12-09,1-14,21,2011,False,2011_publishedweek2011.xls
2011-12-16,1-14,12,2011,False,2011_publishedweek2011.xls
2011-12-23,1-14,25,2011,False,2011_publishedweek2011.xls
2011-12-30,1-14,22,2011,False,2011_publishedweek2011.xls
2012-01-06,1-14,19,2012,False,2012_publishedweek2012.xls
2012-01-13,1-14,17,2012,False,2012_publishedweek2012.xls
2012-01-20,1-14,17,2012,False,2012_publishedweek2012.xls
2012-01-27,1-14,28,2012,False,2012_publishedweek2012.xls
2012-02-03,1-14,26,2012,False,2012_publishedweek2012.xls
2012-02-10,1-14,18,2012,False,2012_publishedweek2012.xls
2012-02-17,1-14,16,2012,False,2012_publishedweek2012.xls
2012-02-24,1-14,14,2012,False,2012_publishedweek2012.xls
2012-03-02,1-14,22,2012,False,2012_publishedweek2012.xls
2012-03-09,1-14,16,2012,False,2012_publishedweek2012.xls
2012-03-16,1-14,18,2012,False,2012_publishedweek2012.xls
2012-03-23,1-14,34,2012,False,2012_publishedweek2012.xls
2012-03-30,1-14,21,2012,False,2012_publishedweek2012.xls
2012-04-06,1-14,23,2012,False,2012_publishedweek2012.xls
2012-04-13,1-14,26,2012,False,2012_publishedweek2012.xls
2012-04-20,1-14,18,2012,False,2012_publishedweek2012.xls
2012-04-27,1-14,21,2012,False,2012_publishedweek2012.xls
2012-05-04,1-14,25,2012,False,2012_publishedweek2012.xls
2012-05-11,1-14,16,2012,False,2012_publishedweek2012.xls
2012-05-18,1-14,23,2012,False,2012_publishedweek2012.xls
2012-05-25,1-14,26,2012,False,2012_publishedweek2012.xls
2012-06-01,1-14,23,2012,False,2012_publishedweek2012.xls
2012-06-08,1-14,9,2012,False,2012_publishedweek2012.xls
2012-06-15,1-14,16,2012,False,2012_publishedweek2012.xls
2012-06-22,1-14,17,2012,False,2012_publishedweek2012.xls
