month_date,region_code,region_name,observed_deaths,edition_year,is_final,source_filename
2006-01-01,E12000001,North East,2570,2006,True,2006_publishedoutput200tcm772274163.xls
2006-02-01,E12000001,North East,2194,2006,True,2006_publishedoutput200tcm772274163.xls
2006-03-01,E12000001,North East,2517,2006,True,2006_publishedoutput200tcm772274163.xls
2006-04-01,E12000001,North East,2221,2006,True,2006_publishedoutput200tcm772274163.xls
2006-05-01,E12000001,North East,2381,2006,True,2006_publishedoutput200tcm772274163.xls
2006-06-01,E12000001,North East,2136,2006,True,2006_publishedoutput200tcm772274163.xls
2006-07-01,E12000001,North East,2030,2006,True,2006_publishedoutput200tcm772274163.xls
2006-08-01,E12000001,North East,2078,2006,True,2006_publishedoutput200tcm772274163.xls
2006-09-01,E12000001,North East,1929,2006,True,2006_publishedoutput200tcm772274163.xls
2006-10-01,E12000001,North East,2218,2006,True,2006_publishedoutput200tcm772274163.xls
2006-11-01,E12000001,North East,2268,2006,True,2006_publishedoutput200tcm772274163.xls
2006-12-01,E12000001,North East,2328,2006,True,2006_publishedoutput200tcm772274163.xls
2007-01-01,E12000001,North East,2736,2007,True,2007_publishedoutput200tcm772274233.xls
2007-02-01,E12000001,North East,2300,2007,True,2007_publishedoutput200tcm772274233.xls
2007-03-01,E12000001,North East,2447,2007,True,2007_publishedoutput200tcm772274233.xls
2007-04-01,E12000001,North East,2165,2007,True,2007_publishedoutput200tcm772274233.xls
2007-05-01,E12000001,North East,2192,2007,True,2007_publishedoutput200tcm772274233.xls
2007-06-01,E12000001,North East,1959,2007,True,2007_publishedoutput200tcm772274233.xls
2007-07-01,E12000001,North East,2131,2007,True,2007_publishedoutput200tcm772274233.xls
2007-08-01,E12000001,North East,2007,2007,True,2007_publishedoutput200tcm772274233.xls
2007-09-01,E12000001,North East,1890,2007,True,2007_publishedoutput200tcm772274233.xls
2007-10-01,E12000001,North East,2320,2007,True,2007_publishedoutput200tcm772274233.xls
2007-11-01,E12000001,North East,2237,2007,True,2007_publishedoutput200tcm772274233.xls
2007-12-01,E12000001,North East,2349,2007,True,2007_publishedoutput200tcm772274233.xls
2008-01-01,E12000001,North East,2876,2008,True,2008_publishedoutput200tcm772274292.xls
2008-02-01,E12000001,North East,2293,2008,True,2008_publishedoutput200tcm772274292.xls
2008-03-01,E12000001,North East,2255,2008,True,2008_publishedoutput200tcm772274292.xls
2008-04-01,E12000001,North East,2363,2008,True,2008_publishedoutput200tcm772274292.xls
2008-05-01,E12000001,North East,2100,2008,True,2008_publishedoutput200tcm772274292.xls
2008-06-01,E12000001,North East,1984,2008,True,2008_publishedoutput200tcm772274292.xls
2008-07-01,E12000001,North East,2148,2008,True,2008_publishedoutput200tcm772274292.xls
2008-08-01,E12000001,North East,1852,2008,True,2008_publishedoutput200tcm772274292.xls
2008-09-01,E12000001,North East,2183,2008,True,2008_publishedoutput200tcm772274292.xls
2008-10-01,E12000001,North East,2270,2008,True,2008_publishedoutput200tcm772274292.xls
2008-11-01,E12000001,North East,2166,2008,True,2008_publishedoutput200tcm772274292.xls
2008-12-01,E12000001,North East,2896,2008,True,2008_publishedoutput200tcm772274292.xls
2009-01-01,E12000001,North East,2772,2009,True,2009_publishedoutput200tcm772274362.xls
2009-02-01,E12000001,North East,2198,2009,True,2009_publishedoutput200tcm772274362.xls
2009-03-01,E12000001,North East,2241,2009,True,2009_publishedoutput200tcm772274362.xls
2009-04-01,E12000001,North East,2179,2009,True,2009_publishedoutput200tcm772274362.xls
2009-05-01,E12000001,North East,2031,2009,True,2009_publishedoutput200tcm772274362.xls
2009-06-01,E12000001,North East,2026,2009,True,2009_publishedoutput200tcm772274362.xls
2009-07-01,E12000001,North East,2037,2009,True,2009_publishedoutput200tcm772274362.xls
2009-08-01,E12000001,North East,1809,2009,True,2009_publishedoutput200tcm772274362.xls
2009-09-01,E12000001,North East,2064,2009,True,2009_publishedoutput200tcm772274362.xls
2009-10-01,E12000001,North East,2154,2009,True,2009_publishedoutput200tcm772274362.xls
2009-11-01,E12000001,North East,2075,2009,True,2009_publishedoutput200tcm772274362.xls
2009-12-01,E12000001,North East,2425,2009,True,2009_publishedoutput200tcm772274362.xls
2010-01-01,E12000001,North East,2365,2010,True,2010_publishedoutputfeb021tcm772274383.xls
2010-02-01,E12000001,North East,2103,2010,True,2010_publishedoutputfeb021tcm772274383.xls
2010-03-01,E12000001,North East,2381,2010,True,2010_publishedoutputfeb021tcm772274383.xls
2010-04-01,E12000001,North East,2117,2010,True,2010_publishedoutputfeb021tcm772274383.xls
2010-05-01,E12000001,North East,1940,2010,True,2010_publishedoutputfeb021tcm772274383.xls
2010-06-01,E12000001,North East,2203,2010,True,2010_publishedoutputfeb021tcm772274383.xls
2010-07-01,E12000001,North East,1997,2010,True,2010_publishedoutputfeb021tcm772274383.xls
2010-08-01,E12000001,North East,1940,2010,True,2010_publishedoutputfeb021tcm772274383.xls
2010-09-01,E12000001,North East,2004,2010,True,2010_publishedoutputfeb021tcm772274383.xls
2010-10-01,E12000001,North East,2099,2010,True,2010_publishedoutputfeb021tcm772274383.xls
2010-11-01,E12000001,North East,2189,2010,True,2010_publishedoutputfeb021tcm772274383.xls
2010-12-01,E12000001,North East,2487,2010,True,2010_publishedoutputfeb021tcm772274383.xls
2011-01-01,E12000001,North East,2523,2011,True,2011_publishedoutput2011finaltcm772738151.xls
2011-02-01,E12000001,North East,2209,2011,True,2011_publishedoutput2011finaltcm772738151.xls
2011-03-01,E12000001,North East,2320,2011,True,2011_publishedoutput2011finaltcm772738151.xls
2011-04-01,E12000001,North East,1911,2011,True,2011_publishedoutput2011finaltcm772738151.xls
2011-05-01,E12000001,North East,2193,2011,True,2011_publishedoutput2011finaltcm772738151.xls
2011-06-01,E12000001,North East,2080,2011,True,2011_publishedoutput2011finaltcm772738151.xls
2011-07-01,E12000001,North East,1912,2011,True,2011_publishedoutput2011finaltcm772738151.xls
2011-08-01,E12000001,North East,2061,2011,True,2011_publishedoutput2011finaltcm772738151.xls
2011-09-01,E12000001,North East,2015,2011,True,2011_publishedoutput2011finaltcm772738151.xls
2011-10-01,E12000001,North East,1978,2011,True,2011_publishedoutput2011finaltcm772738151.xls
2011-11-01,E12000001,North East,2163,2011,True,2011_publishedoutput2011finaltcm772738151.xls
2011-12-01,E12000001,North East,2346,2011,True,2011_publishedoutput2011finaltcm772738151.xls
2012-01-01,E12000001,North East,2472,2012,True,2012_publishedoutput2012finaltcm773197501.xls
2012-02-01,E12000001,North East,2187,2012,True,2012_publishedoutput2012finaltcm773197501.xls
2012-03-01,E12000001,North East,2188,2012,True,2012_publishedoutput2012finaltcm773197501.xls
2012-04-01,E12000001,North East,2241,2012,True,2012_publishedoutput2012finaltcm773197501.xls
