week_ending,sex,age_band,observed_deaths,edition_year,is_final,source_filename
2011-07-15,All people,1-14,13,2011,False,2011_publishedweek2011.xls
2011-07-22,All people,1-14,21,2011,False,2011_publishedweek2011.xls
2011-07-29,All people,1-14,25,2011,False,2011_publishedweek2011.xls
2011-08-05,All people,1-14,19,2011,False,2011_publishedweek2011.xls
2011-08-12,All people,1-14,12,2011,False,2011_publishedweek2011.xls
2011-08-19,All people,1-14,10,2011,False,2011_publishedweek2011.xls
2011-08-26,All people,1-14,12,2011,False,2011_publishedweek2011.xls
2011-09-02,All people,1-14,17,2011,False,2011_publishedweek2011.xls
2011-09-09,All people,1-14,17,2011,False,2011_publishedweek2011.xls
2011-09-16,All people,1-14,27,2011,False,2011_publishedweek2011.xls
2011-09-23,All people,1-14,20,2011,False,2011_publishedweek2011.xls
2011-09-30,All people,1-14,22,2011,False,2011_publishedweek2011.xls
2011-10-07,All people,1-14,16,2011,False,2011_publishedweek2011.xls
2011-10-14,All people,1-14,18,2011,False,2011_publishedweek2011.xls
2011-10-21,All people,1-14,16,2011,False,2011_publishedweek2011.xls
2011-10-28,All people,1-14,17,2011,False,2011_publishedweek2011.xls
2011-11-04,All people,1-14,20,2011,False,2011_publishedweek2011.xls
2011-11-11,All people,1-14,30,2011,False,2011_publishedweek2011.xls
2011-11-18,All people,1-14,15,2011,False,2011_publishedweek2011.xls
2011-11-25,All people,1-14,16,2011,False,2011_publishedweek2011.xls
2011-12-02,All people,1-14,22,2011,False,2011_publishedweek2011.xls
2011-12-09,All people,1-14,21,2011,False,2011_publishedweek2011.xls
2011-12-16,All people,1-14,12,2011,False,2011_publishedweek2011.xls
2011-12-23,All people,1-14,25,2011,False,2011_publishedweek2011.xls
2011-12-30,All people,1-14,22,2011,False,2011_publishedweek2011.xls
2012-01-06,All people,1-14,19,2012,False,2012_publishedweek2012.xls
2012-01-13,All people,1-14,17,2012,False,2012_publishedweek2012.xls
2012-01-20,All people,1-14,17,2012,False,2012_publishedweek2012.xls
2012-01-27,All people,1-14,28,2012,False,2012_publishedweek2012.xls
2012-02-03,All people,1-14,26,2012,False,2012_publishedweek2012.xls
2012-02-10,All people,1-14,18,2012,False,2012_publishedweek2012.xls
2012-02-17,All people,1-14,16,2012,False,2012_publishedweek2012.xls
2012-02-24,All people,1-14,14,2012,False,2012_publishedweek2012.xls
2012-03-02,All people,1-14,22,2012,False,2012_publishedweek2012.xls
2012-03-09,All people,1-14,16,2012,False,2012_publishedweek2012.xls
2012-03-16,All people,1-14,18,2012,False,2012_publishedweek2012.xls
2012-03-23,All people,1-14,34,2012,False,2012_publishedweek2012.xls
2012-03-30,All people,1-14,21,2012,False,2012_publishedweek2012.xls
2012-04-06,All people,1-14,23,2012,False,2012_publishedweek2012.xls
2012-04-13,All people,1-14,26,2012,False,2012_publishedweek2012.xls
2012-04-20,All people,1-14,18,2012,False,2012_publishedweek2012.xls
2012-04-27,All people,1-14,21,2012,False,2012_publishedweek2012.xls
2012-05-04,All people,1-14,25,2012,False,2012_publishedweek2012.xls
2012-05-11,All people,1-14,16,2012,False,2012_publishedweek2012.xls
2012-05-18,All people,1-14,23,2012,False,2012_publishedweek2012.xls
2012-05-25,All people,1-14,26,2012,False,2012_publishedweek2012.xls
2012-06-01,All people,1-14,23,2012,False,2012_publishedweek2012.xls
