year,region_code,region_name,population_total
2016,E12000003,Yorkshire and The Humber,5430000
2016,E12000004,East Midlands,4724000
2016,E12000005,West Midlands,5798000
2016,E12000006,East of England,6075000
2016,E12000007,London,8635000
2016,E12000008,South East,9014000
2016,E12000009,South West,5510000
2016,W92000004,Wales,3119000
2017,E12000001,North East,2653000
2017,E12000002,North West,7286000
2017,E12000003,Yorkshire and The Humber,5468000
2017,E12000004,East Midlands,4768000
2017,E12000005,West Midlands,5848000
2017,E12000006,East of England,6130000
2017,E12000007,London,8736000
2017,E12000008,South East,9120000
2017,E12000009,South West,5557000
2017,W92000004,Wales,3125000
2018,E12000001,North East,2658000
2018,E12000002,North West,7300000
2018,E12000003,Yorkshire and The Humber,5500000
2018,E12000004,East Midlands,4806000
2018,E12000005,West Midlands,5901000
2018,E12000006,East of England,6201000
2018,E12000007,London,8800000
2018,E12000008,South East,9176000
2018,E12000009,South West,5599000
2018,W92000004,Wales,3137000
2019,E12000001,North East,2670000
2019,E12000002,North West,7341000
2019,E12000003,Yorkshire and The Humber,5530000
2019,E12000004,East Midlands,4838000
2019,E12000005,West Midlands,5934000
2019,E12000006,East of England,6234000
2019,E12000007,London,8908000
2019,E12000008,South East,9215000
2019,E12000009,South West,5625000
2019,W92000004,Wales,3152000
2020,E12000001,North East,2680000
2020,E12000002,North West,7367000
2020,E12000003,Yorkshire and The Humber,5556000
2020,E12000004,East Midlands,4863000
2020,E12000005,West Midlands,5950000
2020,E12000006,East of England,6242000
2020,E12000007,London,8961000
2020,E12000008,South East,9217000
2020,E12000009,South West,5660000
2020,W92000004,Wales,3170000
2021,E12000001,North East,2647000
2021,E12000002,North West,7417000
2021,E12000003,Yorkshire and The Humber,5481000
2021,E12000004,East Midlands,4880000
2021,E12000005,West Midlands,5950000
2021,E12000006,East of England,6336000
2021,E12000007,London,8797000
2021,E12000008,South East,9290000
2021,E12000009,South West,5712000
2021,W92000004,Wales,3105000
2022,E12000001,North East,2671000
2022,E12000002,North West,7470000
2022,E12000003,Yorkshire and The Humber,5530000
2022,E12000004,East Midlands,4900000
2022,E12000005,West Midlands,6020000
2022,E12000006,East of England,6398000
2022,E12000007,London,8866000
2022,E12000008,South East,9379000
2022,E12000009,South West,5759000
2022,W92000004,Wales,3132000
2023,E12000001,North East,2654000
2023,E12000002,North West,7517000
2023,E12000003,Yorkshire and The Humber,5535000
2023,E12000004,East Midlands,4953000
2023,E12000005,West Midlands,6020000
2023,E12000006,East of England,6398000
2023,E12000007,London,8945000
2023,E12000008,South East,9395000
2023,E12000009,South West,5764000
2023,W92000004,Wales,3164000
