year,region_code,region_name,population_total
2006,E12000001,North East,2552000
2006,E12000002,North West,6854000
2006,E12000003,Yorkshire and The Humber,5128000
2006,E12000004,East Midlands,4364000
2006,E12000005,West Midlands,5366000
2006,E12000006,East of England,5607000
2006,E12000007,London,7506000
2006,E12000008,South East,8214000
2006,E12000009,South West,5126000
2006,W92000004,Wales,2967000
2007,E12000001,North East,2562000
2007,E12000002,North West,6878000
2007,E12000003,Yorkshire and The Humber,5158000
2007,E12000004,East Midlands,4393000
2007,E12000005,West Midlands,5398000
2007,E12000006,East of England,5634000
2007,E12000007,London,7538000
2007,E12000008,South East,8254000
2007,E12000009,South West,5148000
2007,W92000004,Wales,2974000
2008,E12000001,North East,2570000
2008,E12000002,North West,6905000
2008,E12000003,Yorkshire and The Humber,5188000
2008,E12000004,East Midlands,4422000
2008,E12000005,West Midlands,5430000
2008,E12000006,East of England,5681000
2008,E12000007,London,7600000
2008,E12000008,South East,8320000
2008,E12000009,South West,5184000
2008,W92000004,Wales,2982000
2009,E12000001,North East,2581000
2009,E12000002,North West,6932000
2009,E12000003,Yorkshire and The Humber,5223000
2009,E12000004,East Midlands,4451000
2009,E12000005,West Midlands,5462000
2009,E12000006,East of England,5728000
2009,E12000007,London,7670000
2009,E12000008,South East,8390000
2009,E12000009,South West,5224000
2009,W92000004,Wales,2989000
2010,E12000001,North East,2596000
2010,E12000002,North West,6963000
2010,E12000003,Yorkshire and The Humber,5260000
2010,E12000004,East Midlands,4484000
2010,E12000005,West Midlands,5495000
2010,E12000006,East of England,5775000
2010,E12000007,London,7740000
2010,E12000008,South East,8463000
2010,E12000009,South West,5266000
2010,W92000004,Wales,2998000
2011,E12000001,North East,2603000
2011,E12000002,North West,7080000
2011,E12000003,Yorkshire and The Humber,5288000
2011,E12000004,East Midlands,4538000
2011,E12000005,West Midlands,5605000
2011,E12000006,East of England,5847000
2011,E12000007,London,8175000
2011,E12000008,South East,8634000
2011,E12000009,South West,5301000
2011,W92000004,Wales,3064000
2012,E12000001,North East,2609000
2012,E12000002,North West,7104000
2012,E12000003,Yorkshire and The Humber,5316000
2012,E12000004,East Midlands,4571000
2012,E12000005,West Midlands,5640000
2012,E12000006,East of England,5895000
2012,E12000007,London,8264000
2012,E12000008,South East,8703000
2012,E12000009,South West,5345000
2012,W92000004,Wales,3074000
2013,E12000001,North East,2616000
2013,E12000002,North West,7129000
2013,E12000003,Yorkshire and The Humber,5337000
2013,E12000004,East Midlands,4598000
2013,E12000005,West Midlands,5675000
2013,E12000006,East of England,5940000
2013,E12000007,London,8350000
2013,E12000008,South East,8763000
2013,E12000009,South West,5378000
2013,W92000004,Wales,3082000
2014,E12000001,North East,2627000
2014,E12000002,North West,7163000
2014,E12000003,Yorkshire and The Humber,5366000
2014,E12000004,East Midlands,4636000
2014,E12000005,West Midlands,5712000
2014,E12000006,East of England,5984000
2014,E12000007,London,8430000
2014,E12000008,South East,8836000
2014,E12000009,South West,5421000
2014,W92000004,Wales,3097000
2015,E12000001,North East,2638000
2015,E12000002,North West,7203000
2015,E12000003,Yorkshire and The Humber,5396000
2015,E12000004,East Midlands,4677000
2015,E12000005,West Midlands,5751000
2015,E12000006,East of England,6028000
2015,E12000007,London,8540000
2015,E12000008,South East,8915000
2015,E12000009,South West,5466000
2015,W92000004,Wales,3107000
2016,E12000001,North East,2649000
2016,E12000002,North West,7250000
