week_ending,observed_deaths,edition_year,is_final,source_filename
2011-11-04,9640,2011,False,2011_publishedweek2011.xls
2011-11-11,9042,2011,False,2011_publishedweek2011.xls
2011-11-18,9305,2011,False,2011_publishedweek2011.xls
2011-11-25,9166,2011,False,2011_publishedweek2011.xls
2011-12-02,9203,2011,False,2011_publishedweek2011.xls
2011-12-09,9828,2011,False,2011_publishedweek2011.xls
2011-12-16,10348,2011,False,2011_publishedweek2011.xls
2011-12-23,11151,2011,False,2011_publishedweek2011.xls
2011-12-30,8472,2011,False,2011_publishedweek2011.xls
2012-01-06,10514,2012,False,2012_publishedweek2012.xls
2012-01-13,11343,2012,False,2012_publishedweek2012.xls
2012-01-20,10393,2012,False,2012_publishedweek2012.xls
2012-01-27,10320,2012,False,2012_publishedweek2012.xls
2012-02-03,10117,2012,False,2012_publishedweek2012.xls
2012-02-10,10287,2012,False,2012_publishedweek2012.xls
2012-02-17,10532,2012,False,2012_publishedweek2012.xls
2012-02-24,11086,2012,False,2012_publishedweek2012.xls
2012-03-02,10945,2012,False,2012_publishedweek2012.xls
2012-03-09,10507,2012,False,2012_publishedweek2012.xls
2012-03-16,10041,2012,False,2012_publishedweek2012.xls
2012-03-23,9864,2012,False,2012_publishedweek2012.xls
2012-03-30,9634,2012,False,2012_publishedweek2012.xls
2012-04-06,8520,2012,False,2012_publishedweek2012.xls
2012-04-13,9992,2012,False,2012_publishedweek2012.xls
2012-04-20,10816,2012,False,2012_publishedweek2012.xls
2012-04-27,10238,2012,False,2012_publishedweek2012.xls
2012-05-04,9957,2012,False,2012_publishedweek2012.xls
2012-05-11,8868,2012,False,2012_publishedweek2012.xls
2012-05-18,9913,2012,False,2012_publishedweek2012.xls
2012-05-25,9602,2012,False,2012_publishedweek2012.xls
2012-06-01,9602,2012,False,2012_publishedweek2012.xls
2012-06-08,6781,2012,False,2012_publishedweek2012.xls
2012-06-15,10170,2012,False,2012_publishedweek2012.xls
2012-06-22,9054,2012,False,2012_publishedweek2012.xls
2012-06-29,8856,2012,False,2012_publishedweek2012.xls
2012-07-06,8909,2012,False,2012_publishedweek2012.xls
2012-07-13,8754,2012,False,2012_publishedweek2012.xls
2012-07-20,8684,2012,False,2012_publishedweek2012.xls
2012-07-27,8877,2012,False,2012_publishedweek2012.xls
2012-08-03,8942,2012,False,2012_publishedweek2012.xls
2012-08-10,8810,2012,False,2012_publishedweek2012.xls
2012-08-17,8776,2012,False,2012_publishedweek2012.xls
2012-08-24,8977,2012,False,2012_publishedweek2012.xls
2012-08-31,7617,2012,False,2012_publishedweek2012.xls
2012-09-07,8848,2012,False,2012_publishedweek2012.xls
2012-09-14,8641,2012,False,2012_publishedweek2012.xls
2012-09-21,8839,2012,False,2012_publishedweek2012.xls
2012-09-28,8865,2012,False,2012_publishedweek2012.xls
2012-10-05,9070,2012,False,2012_publishedweek2012.xls
2012-10-12,9441,2012,False,2012_publishedweek2012.xls
2012-10-19,9284,2012,False,2012_publishedweek2012.xls
2012-10-26,9550,2012,False,2012_publishedweek2012.xls
2012-11-02,9335,2012,False,2012_publishedweek2012.xls
2012-11-09,9683,2012,False,2012_publishedweek2012.xls
2012-11-16,9900,2012,False,2012_publishedweek2012.xls
2012-11-23,9679,2012,False,2012_publishedweek2012.xls
2012-11-30,9394,2012,False,2012_publishedweek2012.xls
2012-12-07,9844,2012,False,2012_publishedweek2012.xls
2012-12-14,10388,2012,False,2012_publishedweek2012.xls
2012-12-21,11461,2012,False,2012_publishedweek2012.xls
2012-12-28,8096,2012,False,2012_publishedweek2012.xls
2013-01-04,11620,2013,False,2013_publishedweek2013.xls
2013-01-11,12541,2013,False,2013_publishedweek2013.xls
2013-01-18,11075,2013,False,2013_publishedweek2013.xls
2013-01-25,11262,2013,False,2013_publishedweek2013.xls
2013-02-01,11314,2013,False,2013_publishedweek2013.xls
2013-02-08,11044,2013,False,2013_publishedweek2013.xls
2013-02-15,11030,2013,False,2013_publishedweek2013.xls
2013-02-22,10850,2013,False,2013_publishedweek2013.xls
2013-03-01,10783,2013,False,2013_publishedweek2013.xls
2013-03-08,11245,2013,False,2013_publishedweek2013.xls
2013-03-15,11180,2013,False,2013_publishedweek2013.xls
2013-03-22,11075,2013,False,2013_publishedweek2013.xls
2013-03-29,9280,2013,False,2013_publishedweek2013.xls
2013-04-05,10890,2013,False,2013_publishedweek2013.xls
2013-04-12,12147,2013,False,2013_publishedweek2013.xls
2013-04-19,11752,2013,False,2013_publishedweek2013.xls
2013-04-26,10625,2013,False,2013_publishedweek2013.xls
2013-05-03,10169,2013,False,2013_publishedweek2013.xls
2013-05-10,8814,2013,False,2013_publishedweek2013.xls
2013-05-17,9847,2013,False,2013_publishedweek2013.xls
2013-05-24,9530,2013,False,2013_publishedweek2013.xls
2013-05-31,8333,2013,False,2013_publishedweek2013.xls
2013-06-07,9482,2013,False,2013_publishedweek2013.xls
2013-06-14,8869,2013,False,2013_publishedweek2013.xls
2013-06-21,8904,2013,False,2013_publishedweek2013.xls
2013-06-28,8589,2013,False,2013_publishedweek2013.xls
2013-07-05,8790,2013,False,2013_publishedweek2013.xls
2013-07-12,8533,2013,False,2013_publishedweek2013.xls
2013-07-19,8790,2013,False,2013_publishedweek2013.xls
2013-07-26,8476,2013,False,2013_publishedweek2013.xls
2013-08-02,8159,2013,False,2013_publishedweek2013.xls
2013-08-09,8280,2013,False,2013_publishedweek2013.xls
2013-08-16,8231,2013,False,2013_publishedweek2013.xls
2013-08-23,8579,2013,False,2013_publishedweek2013.xls
2013-08-30,7688,2013,False,2013_publishedweek2013.xls
2013-09-06,8905,2013,False,2013_publishedweek2013.xls
2013-09-13,8347,2013,False,2013_publishedweek2013.xls
2013-09-20,8635,2013,False,2013_publishedweek2013.xls
2013-09-27,9155,2013,False,2013_publishedweek2013.xls
2013-10-04,9191,2013,False,2013_publishedweek2013.xls
2013-10-11,8939,2013,False,2013_publishedweek2013.xls
2013-10-18,9237,2013,False,2013_publishedweek2013.xls
2013-10-25,9236,2013,False,2013_publishedweek2013.xls
2013-11-01,9107,2013,False,2013_publishedweek2013.xls
2013-11-08,9449,2013,False,2013_publishedweek2013.xls
2013-11-15,9583,2013,False,2013_publishedweek2013.xls
2013-11-22,9587,2013,False,2013_publishedweek2013.xls
2013-11-29,9636,2013,False,2013_publishedweek2013.xls
2013-12-06,9908,2013,False,2013_publishedweek2013.xls
2013-12-13,10033,2013,False,2013_publishedweek2013.xls
2013-12-20,10335,2013,False,2013_publishedweek2013.xls
2013-12-27,6606,2013,False,2013_publishedweek2013.xls
2014-01-03,11448,2014,False,2014_publishedweek2014.xls
2014-01-10,11847,2014,False,2014_publishedweek2014.xls
2014-01-17,11061,2014,False,2014_publishedweek2014.xls
2014-01-24,10374,2014,False,2014_publishedweek2014.xls
2014-01-31,10258,2014,False,2014_publishedweek2014.xls
2014-02-07,10147,2014,False,2014_publishedweek2014.xls
2014-02-14,10198,2014,False,2014_publishedweek2014.xls
2014-02-21,10427,2014,False,2014_publishedweek2014.xls
2014-02-28,10377,2014,False,2014_publishedweek2014.xls
2014-03-07,9828,2014,False,2014_publishedweek2014.xls
2014-03-14,10005,2014,False,2014_publishedweek2014.xls
2014-03-21,9832,2014,False,2014_publishedweek2014.xls
2014-03-28,9622,2014,False,2014_publishedweek2014.xls
2014-04-04,9944,2014,False,2014_publishedweek2014.xls
2014-04-11,9504,2014,False,2014_publishedweek2014.xls
2014-04-18,8000,2014,False,2014_publishedweek2014.xls
2014-04-25,9359,2014,False,2014_publishedweek2014.xls
2014-05-02,10527,2014,False,2014_publishedweek2014.xls
2014-05-09,8613,2014,False,2014_publishedweek2014.xls
2014-05-16,9513,2014,False,2014_publishedweek2014.xls
2014-05-23,9313,2014,False,2014_publishedweek2014.xls
2014-05-30,8034,2014,False,2014_publishedweek2014.xls
2014-06-06,9557,2014,False,2014_publishedweek2014.xls
2014-06-13,9414,2014,False,2014_publishedweek2014.xls
2014-06-20,8946,2014,False,2014_publishedweek2014.xls
2014-06-27,8931,2014,False,2014_publishedweek2014.xls
2014-07-04,8763,2014,False,2014_publishedweek2014.xls
2014-07-11,8784,2014,False,2014_publishedweek2014.xls
2014-07-18,9119,2014,False,2014_publishedweek2014.xls
2014-07-25,8965,2014,False,2014_publishedweek2014.xls
2014-08-01,8916,2014,False,2014_publishedweek2014.xls
2014-08-08,8755,2014,False,2014_publishedweek2014.xls
2014-08-15,8792,2014,False,2014_publishedweek2014.xls
2014-08-22,8769,2014,False,2014_publishedweek2014.xls
2014-08-29,8027,2014,False,2014_publishedweek2014.xls
2014-09-05,9671,2014,False,2014_publishedweek2014.xls
2014-09-12,9284,2014,False,2014_publishedweek2014.xls
2014-09-19,9107,2014,False,2014_publishedweek2014.xls
2014-09-26,9048,2014,False,2014_publishedweek2014.xls
2014-10-03,9271,2014,False,2014_publishedweek2014.xls
2014-10-10,9173,2014,False,2014_publishedweek2014.xls
2014-10-17,9464,2014,False,2014_publishedweek2014.xls
2014-10-24,9603,2014,False,2014_publishedweek2014.xls
2014-10-31,9586,2014,False,2014_publishedweek2014.xls
2014-11-07,9753,2014,False,2014_publishedweek2014.xls
2014-11-14,10036,2014,False,2014_publishedweek2014.xls
2014-11-21,9472,2014,False,2014_publishedweek2014.xls
2014-11-28,9928,2014,False,2014_publishedweek2014.xls
2014-12-05,10267,2014,False,2014_publishedweek2014.xls
2014-12-12,10550,2014,False,2014_publishedweek2014.xls
2014-12-19,11681,2014,False,2014_publishedweek2014.xls
2014-12-26,7837,2014,False,2014_publishedweek2014.xls
2015-01-02,12286,2015,False,2015_publishedweek2015.xls
2015-01-09,16237,2015,False,2015_publishedweek2015.xls
2015-01-16,14866,2015,False,2015_publishedweek2015.xls
2015-01-23,13934,2015,False,2015_publishedweek2015.xls
2015-01-30,12900,2015,False,2015_publishedweek2015.xls
2015-02-06,12039,2015,False,2015_publishedweek2015.xls
2015-02-13,11822,2015,False,2015_publishedweek2015.xls
2015-02-20,11434,2015,False,2015_publishedweek2015.xls
2015-02-27,11472,2015,False,2015_publishedweek2015.xls
2015-03-06,11469,2015,False,2015_publishedweek2015.xls
2015-03-13,10951,2015,False,2015_publishedweek2015.xls
2015-03-20,10568,2015,False,2015_publishedweek2015.xls
2015-03-27,10493,2015,False,2015_publishedweek2015.xls
2015-04-03,9062,2015,False,2015_publishedweek2015.xls
2015-04-10,10089,2015,False,2015_publishedweek2015.xls
2015-04-17,11639,2015,False,2015_publishedweek2015.xls
2015-04-24,10599,2015,False,2015_publishedweek2015.xls
2015-05-01,10134,2015,False,2015_publishedweek2015.xls
2015-05-08,8862,2015,False,2015_publishedweek2015.xls
2015-05-15,10290,2015,False,2015_publishedweek2015.xls
2015-05-22,10005,2015,False,2015_publishedweek2015.xls
2015-05-29,8213,2015,False,2015_publishedweek2015.xls
2015-06-05,10157,2015,False,2015_publishedweek2015.xls
2015-06-12,9548,2015,False,2015_publishedweek2015.xls
2015-06-19,9312,2015,False,2015_publishedweek2015.xls
2015-06-26,9190,2015,False,2015_publishedweek2015.xls
2015-07-03,9205,2015,False,2015_publishedweek2015.xls
2015-07-10,9015,2015,False,2015_publishedweek2015.xls
2015-07-17,8802,2015,False,2015_publishedweek2015.xls
