year,sex,age_band,icd_chapter_code,icd_chapter_name,place,deaths
2015,All people,15-44,A00 to B99,Chapter 1 - Certain infectious and parasitic diseases,All places,244
2015,All people,15-44,A00 to B99,Chapter 1 - Certain infectious and parasitic diseases,Elsewhere,3
2015,All people,15-44,A00 to B99,Chapter 1 - Certain infectious and parasitic diseases,Local authority care homes,0
2015,All people,15-44,A00 to B99,Chapter 1 - Certain infectious and parasitic diseases,NHS hospices,0
2015,All people,15-44,A00 to B99,Chapter 1 - Certain infectious and parasitic diseases,NHS hospitals,198
2015,All people,15-44,A00 to B99,Chapter 1 - Certain infectious and parasitic diseases,Non-NHS hospices,6
2015,All people,15-44,A00 to B99,Chapter 1 - Certain infectious and parasitic diseases,Non-NHS hospitals,1
2015,All people,15-44,A00 to B99,Chapter 1 - Certain infectious and parasitic diseases,Non-local authority care homes,3
2015,All people,15-44,A00 to B99,Chapter 1 - Certain infectious and parasitic diseases,Other communal establishments,1
2015,All people,15-44,A00 to B99,Chapter 1 - Certain infectious and parasitic diseases,Private homes,32
2015,All people,15-44,A00 to R99 U00 to Y89,All causes,All places,14847
2015,All people,15-44,A00 to R99 U00 to Y89,All causes,Elsewhere,2566
2015,All people,15-44,A00 to R99 U00 to Y89,All causes,Local authority care homes,4
2015,All people,15-44,A00 to R99 U00 to Y89,All causes,NHS hospices,88
2015,All people,15-44,A00 to R99 U00 to Y89,All causes,NHS hospitals,5883
2015,All people,15-44,A00 to R99 U00 to Y89,All causes,Non-NHS hospices,918
2015,All people,15-44,A00 to R99 U00 to Y89,All causes,Non-NHS hospitals,38
2015,All people,15-44,A00 to R99 U00 to Y89,All causes,Non-local authority care homes,101
2015,All people,15-44,A00 to R99 U00 to Y89,All causes,Other communal establishments,97
2015,All people,15-44,A00 to R99 U00 to Y89,All causes,Private homes,5152
2015,All people,15-44,C00 to D48,Chapter 2 - Neoplasms,All places,3078
2015,All people,15-44,C00 to D48,Chapter 2 - Neoplasms,Elsewhere,87
2015,All people,15-44,C00 to D48,Chapter 2 - Neoplasms,Local authority care homes,0
2015,All people,15-44,C00 to D48,Chapter 2 - Neoplasms,NHS hospices,82
2015,All people,15-44,C00 to D48,Chapter 2 - Neoplasms,NHS hospitals,1211
2015,All people,15-44,C00 to D48,Chapter 2 - Neoplasms,Non-NHS hospices,843
2015,All people,15-44,C00 to D48,Chapter 2 - Neoplasms,Non-NHS hospitals,32
2015,All people,15-44,C00 to D48,Chapter 2 - Neoplasms,Non-local authority care homes,50
2015,All people,15-44,C00 to D48,Chapter 2 - Neoplasms,Other communal establishments,7
2015,All people,15-44,C00 to D48,Chapter 2 - Neoplasms,Private homes,766
2015,All people,15-44,D50 to D89,Chapter 3 - Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,All places,66
2015,All people,15-44,D50 to D89,Chapter 3 - Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Elsewhere,0
2015,All people,15-44,D50 to D89,Chapter 3 - Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Local authority care homes,0
2015,All people,15-44,D50 to D89,Chapter 3 - Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,NHS hospices,0
2015,All people,15-44,D50 to D89,Chapter 3 - Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,NHS hospitals,55
2015,All people,15-44,D50 to D89,Chapter 3 - Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Non-NHS hospices,1
2015,All people,15-44,D50 to D89,Chapter 3 - Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Non-NHS hospitals,0
2015,All people,15-44,D50 to D89,Chapter 3 - Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Non-local authority care homes,1
2015,All people,15-44,D50 to D89,Chapter 3 - Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other communal establishments,0
2015,All people,15-44,D50 to D89,Chapter 3 - Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Private homes,9
2015,All people,15-44,E00 to E90,"Chapter 4 - Endocrine, nutritional and metabolic diseases",All places,430
2015,All people,15-44,E00 to E90,"Chapter 4 - Endocrine, nutritional and metabolic diseases",Elsewhere,15
2015,All people,15-44,E00 to E90,"Chapter 4 - Endocrine, nutritional and metabolic diseases",Local authority care homes,0
2015,All people,15-44,E00 to E90,"Chapter 4 - Endocrine, nutritional and metabolic diseases",NHS hospices,1
2015,All people,15-44,E00 to E90,"Chapter 4 - Endocrine, nutritional and metabolic diseases",NHS hospitals,218
2015,All people,15-44,E00 to E90,"Chapter 4 - Endocrine, nutritional and metabolic diseases",Non-NHS hospices,7
2015,All people,15-44,E00 to E90,"Chapter 4 - Endocrine, nutritional and metabolic diseases",Non-NHS hospitals,0
2015,All people,15-44,E00 to E90,"Chapter 4 - Endocrine, nutritional and metabolic diseases",Non-local authority care homes,3
2015,All people,15-44,E00 to E90,"Chapter 4 - Endocrine, nutritional and metabolic diseases",Other communal establishments,5
2015,All people,15-44,E00 to E90,"Chapter 4 - Endocrine, nutritional and metabolic diseases",Private homes,181
2015,All people,15-44,F00 to F99,Chapter 5 - Mental and behavioural disorders,All places,192
2015,All people,15-44,F00 to F99,Chapter 5 - Mental and behavioural disorders,Elsewhere,25
2015,All people,15-44,F00 to F99,Chapter 5 - Mental and behavioural disorders,Local authority care homes,0
2015,All people,15-44,F00 to F99,Chapter 5 - Mental and behavioural disorders,NHS hospices,0
2015,All people,15-44,F00 to F99,Chapter 5 - Mental and behavioural disorders,NHS hospitals,69
2015,All people,15-44,F00 to F99,Chapter 5 - Mental and behavioural disorders,Non-NHS hospices,1
2015,All people,15-44,F00 to F99,Chapter 5 - Mental and behavioural disorders,Non-NHS hospitals,0
2015,All people,15-44,F00 to F99,Chapter 5 - Mental and behavioural disorders,Non-local authority care homes,0
2015,All people,15-44,F00 to F99,Chapter 5 - Mental and behavioural disorders,Other communal establishments,0
2015,All people,15-44,F00 to F99,Chapter 5 - Mental and behavioural disorders,Private homes,97
2015,All people,15-44,G00 to G99,Chapter 6 - Diseases of the nervous system,All places,652
2015,All people,15-44,G00 to G99,Chapter 6 - Diseases of the nervous system,Elsewhere,39
2015,All people,15-44,G00 to G99,Chapter 6 - Diseases of the nervous system,Local authority care homes,2
2015,All people,15-44,G00 to G99,Chapter 6 - Diseases of the nervous system,NHS hospices,2
2015,All people,15-44,G00 to G99,Chapter 6 - Diseases of the nervous system,NHS hospitals,306
2015,All people,15-44,G00 to G99,Chapter 6 - Diseases of the nervous system,Non-NHS hospices,19
2015,All people,15-44,G00 to G99,Chapter 6 - Diseases of the nervous system,Non-NHS hospitals,0
2015,All people,15-44,G00 to G99,Chapter 6 - Diseases of the nervous system,Non-local authority care homes,16
2015,All people,15-44,G00 to G99,Chapter 6 - Diseases of the nervous system,Other communal establishments,13
2015,All people,15-44,G00 to G99,Chapter 6 - Diseases of the nervous system,Private homes,255
2015,All people,15-44,H00 to H59,Chapter 7 - Diseases of the eye and adnexa,All places,0
2015,All people,15-44,H00 to H59,Chapter 7 - Diseases of the eye and adnexa,Elsewhere,0
2015,All people,15-44,H00 to H59,Chapter 7 - Diseases of the eye and adnexa,Local authority care homes,0
2015,All people,15-44,H00 to H59,Chapter 7 - Diseases of the eye and adnexa,NHS hospices,0
2015,All people,15-44,H00 to H59,Chapter 7 - Diseases of the eye and adnexa,NHS hospitals,0
2015,All people,15-44,H00 to H59,Chapter 7 - Diseases of the eye and adnexa,Non-NHS hospices,0
2015,All people,15-44,H00 to H59,Chapter 7 - Diseases of the eye and adnexa,Non-NHS hospitals,0
2015,All people,15-44,H00 to H59,Chapter 7 - Diseases of the eye and adnexa,Non-local authority care homes,0
2015,All people,15-44,H00 to H59,Chapter 7 - Diseases of the eye and adnexa,Other communal establishments,0
2015,All people,15-44,H00 to H59,Chapter 7 - Diseases of the eye and adnexa,Private homes,0
2015,All people,15-44,H60 to H95,Chapter 8 - Diseases of the ear and mastoid process,All places,4
2015,All people,15-44,H60 to H95,Chapter 8 - Diseases of the ear and mastoid process,Elsewhere,0
2015,All people,15-44,H60 to H95,Chapter 8 - Diseases of the ear and mastoid process,Local authority care homes,0
2015,All people,15-44,H60 to H95,Chapter 8 - Diseases of the ear and mastoid process,NHS hospices,0
