year,sex,age_band,icd_chapter_code,icd_chapter_name,place,deaths
2015,All people,15-44,H60 to H95,Chapter 8 - Diseases of the ear and mastoid process,NHS hospitals,3
2015,All people,15-44,H60 to H95,Chapter 8 - Diseases of the ear and mastoid process,Non-NHS hospices,0
2015,All people,15-44,H60 to H95,Chapter 8 - Diseases of the ear and mastoid process,Non-NHS hospitals,0
2015,All people,15-44,H60 to H95,Chapter 8 - Diseases of the ear and mastoid process,Non-local authority care homes,0
2015,All people,15-44,H60 to H95,Chapter 8 - Diseases of the ear and mastoid process,Other communal establishments,0
2015,All people,15-44,H60 to H95,Chapter 8 - Diseases of the ear and mastoid process,Private homes,1
2015,All people,15-44,I00 to I99,Chapter 9 - Diseases of the circulatory system,All places,1861
2015,All people,15-44,I00 to I99,Chapter 9 - Diseases of the circulatory system,Elsewhere,150
2015,All people,15-44,I00 to I99,Chapter 9 - Diseases of the circulatory system,Local authority care homes,0
2015,All people,15-44,I00 to I99,Chapter 9 - Diseases of the circulatory system,NHS hospices,0
2015,All people,15-44,I00 to I99,Chapter 9 - Diseases of the circulatory system,NHS hospitals,1014
2015,All people,15-44,I00 to I99,Chapter 9 - Diseases of the circulatory system,Non-NHS hospices,8
2015,All people,15-44,I00 to I99,Chapter 9 - Diseases of the circulatory system,Non-NHS hospitals,1
2015,All people,15-44,I00 to I99,Chapter 9 - Diseases of the circulatory system,Non-local authority care homes,7
2015,All people,15-44,I00 to I99,Chapter 9 - Diseases of the circulatory system,Other communal establishments,9
2015,All people,15-44,I00 to I99,Chapter 9 - Diseases of the circulatory system,Private homes,672
2015,All people,15-44,J00 to J99,Chapter 10 - Diseases of the respiratory system,All places,549
2015,All people,15-44,J00 to J99,Chapter 10 - Diseases of the respiratory system,Elsewhere,21
2015,All people,15-44,J00 to J99,Chapter 10 - Diseases of the respiratory system,Local authority care homes,0
2015,All people,15-44,J00 to J99,Chapter 10 - Diseases of the respiratory system,NHS hospices,1
2015,All people,15-44,J00 to J99,Chapter 10 - Diseases of the respiratory system,NHS hospitals,330
2015,All people,15-44,J00 to J99,Chapter 10 - Diseases of the respiratory system,Non-NHS hospices,2
2015,All people,15-44,J00 to J99,Chapter 10 - Diseases of the respiratory system,Non-NHS hospitals,1
2015,All people,15-44,J00 to J99,Chapter 10 - Diseases of the respiratory system,Non-local authority care homes,7
2015,All people,15-44,J00 to J99,Chapter 10 - Diseases of the respiratory system,Other communal establishments,1
2015,All people,15-44,J00 to J99,Chapter 10 - Diseases of the respiratory system,Private homes,186
2015,All people,15-44,K00 to K93,Chapter 11 - Diseases of the digestive system,All places,1303
2015,All people,15-44,K00 to K93,Chapter 11 - Diseases of the digestive system,Elsewhere,58
2015,All people,15-44,K00 to K93,Chapter 11 - Diseases of the digestive system,Local authority care homes,0
2015,All people,15-44,K00 to K93,Chapter 11 - Diseases of the digestive system,NHS hospices,2
2015,All people,15-44,K00 to K93,Chapter 11 - Diseases of the digestive system,NHS hospitals,866
2015,All people,15-44,K00 to K93,Chapter 11 - Diseases of the digestive system,Non-NHS hospices,18
2015,All people,15-44,K00 to K93,Chapter 11 - Diseases of the digestive system,Non-NHS hospitals,2
2015,All people,15-44,K00 to K93,Chapter 11 - Diseases of the digestive system,Non-local authority care homes,2
2015,All people,15-44,K00 to K93,Chapter 11 - Diseases of the digestive system,Other communal establishments,5
2015,All people,15-44,K00 to K93,Chapter 11 - Diseases of the digestive system,Private homes,350
2015,All people,15-44,L00 to L99,Chapter 12 - Diseases of the skin and subcutaneous tissue,All places,21
2015,All people,15-44,L00 to L99,Chapter 12 - Diseases of the skin and subcutaneous tissue,Elsewhere,0
2015,All people,15-44,L00 to L99,Chapter 12 - Diseases of the skin and subcutaneous tissue,Local authority care homes,0
2015,All people,15-44,L00 to L99,Chapter 12 - Diseases of the skin and subcutaneous tissue,NHS hospices,0
2015,All people,15-44,L00 to L99,Chapter 12 - Diseases of the skin and subcutaneous tissue,NHS hospitals,19
2015,All people,15-44,L00 to L99,Chapter 12 - Diseases of the skin and subcutaneous tissue,Non-NHS hospices,0
2015,All people,15-44,L00 to L99,Chapter 12 - Diseases of the skin and subcutaneous tissue,Non-NHS hospitals,0
2015,All people,15-44,L00 to L99,Chapter 12 - Diseases of the skin and subcutaneous tissue,Non-local authority care homes,0
2015,All people,15-44,L00 to L99,Chapter 12 - Diseases of the skin and subcutaneous tissue,Other communal establishments,0
2015,All people,15-44,L00 to L99,Chapter 12 - Diseases of the skin and subcutaneous tissue,Private homes,2
2015,All people,15-44,M00 to M99,Chapter 13 - Diseases of the musculoskeletal system and connective tissue,All places,75
2015,All people,15-44,M00 to M99,Chapter 13 - Diseases of the musculoskeletal system and connective tissue,Elsewhere,1
2015,All people,15-44,M00 to M99,Chapter 13 - Diseases of the musculoskeletal system and connective tissue,Local authority care homes,0
2015,All people,15-44,M00 to M99,Chapter 13 - Diseases of the musculoskeletal system and connective tissue,NHS hospices,0
2015,All people,15-44,M00 to M99,Chapter 13 - Diseases of the musculoskeletal system and connective tissue,NHS hospitals,62
2015,All people,15-44,M00 to M99,Chapter 13 - Diseases of the musculoskeletal system and connective tissue,Non-NHS hospices,2
2015,All people,15-44,M00 to M99,Chapter 13 - Diseases of the musculoskeletal system and connective tissue,Non-NHS hospitals,0
2015,All people,15-44,M00 to M99,Chapter 13 - Diseases of the musculoskeletal system and connective tissue,Non-local authority care homes,1
2015,All people,15-44,M00 to M99,Chapter 13 - Diseases of the musculoskeletal system and connective tissue,Other communal establishments,0
2015,All people,15-44,M00 to M99,Chapter 13 - Diseases of the musculoskeletal system and connective tissue,Private homes,9
2015,All people,15-44,N00 to N99,Chapter 14 - Diseases of the genitourinary system,All places,60
2015,All people,15-44,N00 to N99,Chapter 14 - Diseases of the genitourinary system,Elsewhere,2
2015,All people,15-44,N00 to N99,Chapter 14 - Diseases of the genitourinary system,Local authority care homes,0
2015,All people,15-44,N00 to N99,Chapter 14 - Diseases of the genitourinary system,NHS hospices,0
2015,All people,15-44,N00 to N99,Chapter 14 - Diseases of the genitourinary system,NHS hospitals,40
2015,All people,15-44,N00 to N99,Chapter 14 - Diseases of the genitourinary system,Non-NHS hospices,1
2015,All people,15-44,N00 to N99,Chapter 14 - Diseases of the genitourinary system,Non-NHS hospitals,0
2015,All people,15-44,N00 to N99,Chapter 14 - Diseases of the genitourinary system,Non-local authority care homes,2
2015,All people,15-44,N00 to N99,Chapter 14 - Diseases of the genitourinary system,Other communal establishments,1
2015,All people,15-44,N00 to N99,Chapter 14 - Diseases of the genitourinary system,Private homes,14
2015,All people,15-44,O00 to O99,"Chapter 15 - Pregnancy, childbirth and the puerperium",All places,27
2015,All people,15-44,O00 to O99,"Chapter 15 - Pregnancy, childbirth and the puerperium",Elsewhere,0
2015,All people,15-44,O00 to O99,"Chapter 15 - Pregnancy, childbirth and the puerperium",Local authority care homes,0
2015,All people,15-44,O00 to O99,"Chapter 15 - Pregnancy, childbirth and the puerperium",NHS hospices,0
2015,All people,15-44,O00 to O99,"Chapter 15 - Pregnancy, childbirth and the puerperium",NHS hospitals,23
2015,All people,15-44,O00 to O99,"Chapter 15 - Pregnancy, childbirth and the puerperium",Non-NHS hospices,0
2015,All people,15-44,O00 to O99,"Chapter 15 - Pregnancy, childbirth and the puerperium",Non-NHS hospitals,0
2015,All people,15-44,O00 to O99,"Chapter 15 - Pregnancy, childbirth and the puerperium",Non-local authority care homes,0
2015,All people,15-44,O00 to O99,"Chapter 15 - Pregnancy, childbirth and the puerperium",Other communal establishments,0
2015,All people,15-44,O00 to O99,"Chapter 15 - Pregnancy, childbirth and the puerperium",Private homes,4
2015,All people,15-44,P00 to P96,Chapter 16 - Certain conditions originating in the perinatal period,All places,0
2015,All people,15-44,P00 to P96,Chapter 16 - Certain conditions originating in the perinatal period,Elsewhere,0
2015,All people,15-44,P00 to P96,Chapter 16 - Certain conditions originating in the perinatal period,Local authority care homes,0
2015,All people,15-44,P00 to P96,Chapter 16 - Certain conditions originating in the perinatal period,NHS hospices,0
2015,All people,15-44,P00 to P96,Chapter 16 - Certain conditions originating in the perinatal period,NHS hospitals,0
2015,All people,15-44,P00 to P96,Chapter 16 - Certain conditions originating in the perinatal period,Non-NHS hospices,0
2015,All people,15-44,P00 to P96,Chapter 16 - Certain conditions originating in the perinatal period,Non-NHS hospitals,0
2015,All people,15-44,P00 to P96,Chapter 16 - Certain conditions originating in the perinatal period,Non-local authority care homes,0
2015,All people,15-44,P00 to P96,Chapter 16 - Certain conditions originating in the perinatal period,Other communal establishments,0
2015,All people,15-44,P00 to P96,Chapter 16 - Certain conditions originating in the perinatal period,Private homes,0
2015,All people,15-44,Q00 to Q99,"Chapter 17 - Congenital malformations, deformations and chromosomal abnormalities",All places,175
2015,All people,15-44,Q00 to Q99,"Chapter 17 - Congenital malformations, deformations and chromosomal abnormalities",Elsewhere,4
2015,All people,15-44,Q00 to Q99,"Chapter 17 - Congenital malformations, deformations and chromosomal abnormalities",Local authority care homes,0
2015,All people,15-44,Q00 to Q99,"Chapter 17 - Congenital malformations, deformations and chromosomal abnormalities",NHS hospices,0
2015,All people,15-44,Q00 to Q99,"Chapter 17 - Congenital malformations, deformations and chromosomal abnormalities",NHS hospitals,120
2015,All people,15-44,Q00 to Q99,"Chapter 17 - Congenital malformations, deformations and chromosomal abnormalities",Non-NHS hospices,4
2015,All people,15-44,Q00 to Q99,"Chapter 17 - Congenital malformations, deformations and chromosomal abnormalities",Non-NHS hospitals,0
2015,All people,15-44,Q00 to Q99,"Chapter 17 - Congenital malformations, deformations and chromosomal abnormalities",Non-local authority care homes,2
2015,All people,15-44,Q00 to Q99,"Chapter 17 - Congenital malformations, deformations and chromosomal abnormalities",Other communal establishments,2
2015,All people,15-44,Q00 to Q99,"Chapter 17 - Congenital malformations, deformations and chromosomal abnormalities",Private homes,43
2015,All people,15-44,R00 to R99,"Chapter 18 - Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",All places,260
2015,All people,15-44,R00 to R99,"Chapter 18 - Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Elsewhere,46
2015,All people,15-44,R00 to R99,"Chapter 18 - Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Local authority care homes,0
2015,All people,15-44,R00 to R99,"Chapter 18 - Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",NHS hospices,0
2015,All people,15-44,R00 to R99,"Chapter 18 - Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",NHS hospitals,55
2015,All people,15-44,R00 to R99,"Chapter 18 - Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Non-NHS hospices,0
2015,All people,15-44,R00 to R99,"Chapter 18 - Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Non-NHS hospitals,0
2015,All people,15-44,R00 to R99,"Chapter 18 - Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Non-local authority care homes,0
2015,All people,15-44,R00 to R99,"Chapter 18 - Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Other communal establishments,0
2015,All people,15-44,R00 to R99,"Chapter 18 - Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Private homes,159
2015,All people,15-44,U00 to U85,Chapter 22 - Codes for special purposes,All places,0
2015,All people,15-44,U00 to U85,Chapter 22 - Codes for special purposes,Elsewhere,0
2015,All people,15-44,U00 to U85,Chapter 22 - Codes for special purposes,Local authority care homes,0
2015,All people,15-44,U00 to U85,Chapter 22 - Codes for special purposes,NHS hospices,0
2015,All people,15-44,U00 to U85,Chapter 22 - Codes for special purposes,NHS hospitals,0
2015,All people,15-44,U00 to U85,Chapter 22 - Codes for special purposes,Non-NHS hospices,0
2015,All people,15-44,U00 to U85,Chapter 22 - Codes for special purposes,Non-NHS hospitals,0
2015,All people,15-44,U00 to U85,Chapter 22 - Codes for special purposes,Non-local authority care homes,0
2015,All people,15-44,U00 to U85,Chapter 22 - Codes for special purposes,Other communal establishments,0
2015,All people,15-44,U00 to U85,Chapter 22 - Codes for special purposes,Private homes,0
2015,All people,15-44,U509 V01 to Y89,Chapter 20 - External causes of morbidity and mortality,All places,5850
2015,All people,15-44,U509 V01 to Y89,Chapter 20 - External causes of morbidity and mortality,Elsewhere,2115
2015,All people,15-44,U509 V01 to Y89,Chapter 20 - External causes of morbidity and mortality,Local authority care homes,2
2015,All people,15-44,U509 V01 to Y89,Chapter 20 - External causes of morbidity and mortality,NHS hospices,0
2015,All people,15-44,U509 V01 to Y89,Chapter 20 - External causes of morbidity and mortality,NHS hospitals,1294
2015,All people,15-44,U509 V01 to Y89,Chapter 20 - External causes of morbidity and mortality,Non-NHS hospices,6
2015,All people,15-44,U509 V01 to Y89,Chapter 20 - External causes of morbidity and mortality,Non-NHS hospitals,1
2015,All people,15-44,U509 V01 to Y89,Chapter 20 - External causes of morbidity and mortality,Non-local authority care homes,7
2015,All people,15-44,U509 V01 to Y89,Chapter 20 - External causes of morbidity and mortality,Other communal establishments,53
2015,All people,15-44,U509 V01 to Y89,Chapter 20 - External causes of morbidity and mortality,Private homes,2372
2015,All people,45-64,A00 to B99,Chapter 1 - Certain infectious and parasitic diseases,All places,780
2015,All people,45-64,A00 to B99,Chapter 1 - Certain infectious and parasitic diseases,Elsewhere,8
2015,All people,45-64,A00 to B99,Chapter 1 - Certain infectious and parasitic diseases,Local authority care homes,0
2015,All people,45-64,A00 to B99,Chapter 1 - Certain infectious and parasitic diseases,NHS hospices,4
2015,All people,45-64,A00 to B99,Chapter 1 - Certain infectious and parasitic diseases,NHS hospitals,645
2015,All people,45-64,A00 to B99,Chapter 1 - Certain infectious and parasitic diseases,Non-NHS hospices,15
2015,All people,45-64,A00 to B99,Chapter 1 - Certain infectious and parasitic diseases,Non-NHS hospitals,4
2015,All people,45-64,A00 to B99,Chapter 1 - Certain infectious and parasitic diseases,Non-local authority care homes,16
2015,All people,45-64,A00 to B99,Chapter 1 - Certain infectious and parasitic diseases,Other communal establishments,4
2015,All people,45-64,A00 to B99,Chapter 1 - Certain infectious and parasitic diseases,Private homes,84
2015,All people,45-64,A00 to R99 U00 to Y89,All causes,All places,61649
2015,All people,45-64,A00 to R99 U00 to Y89,All causes,Elsewhere,2846
2015,All people,45-64,A00 to R99 U00 to Y89,All causes,Local authority care homes,74
2015,All people,45-64,A00 to R99 U00 to Y89,All causes,NHS hospices,776
2015,All people,45-64,A00 to R99 U00 to Y89,All causes,NHS hospitals,28425
2015,All people,45-64,A00 to R99 U00 to Y89,All causes,Non-NHS hospices,6084
2015,All people,45-64,A00 to R99 U00 to Y89,All causes,Non-NHS hospitals,157
2015,All people,45-64,A00 to R99 U00 to Y89,All causes,Non-local authority care homes,2038
2015,All people,45-64,A00 to R99 U00 to Y89,All causes,Other communal establishments,265
2015,All people,45-64,A00 to R99 U00 to Y89,All causes,Private homes,20984
2015,All people,45-64,C00 to D48,Chapter 2 - Neoplasms,All places,26145
2015,All people,45-64,C00 to D48,Chapter 2 - Neoplasms,Elsewhere,440
2015,All people,45-64,C00 to D48,Chapter 2 - Neoplasms,Local authority care homes,38
2015,All people,45-64,C00 to D48,Chapter 2 - Neoplasms,NHS hospices,727
2015,All people,45-64,C00 to D48,Chapter 2 - Neoplasms,NHS hospitals,9826
2015,All people,45-64,C00 to D48,Chapter 2 - Neoplasms,Non-NHS hospices,5750
2015,All people,45-64,C00 to D48,Chapter 2 - Neoplasms,Non-NHS hospitals,131
2015,All people,45-64,C00 to D48,Chapter 2 - Neoplasms,Non-local authority care homes,1073
2015,All people,45-64,C00 to D48,Chapter 2 - Neoplasms,Other communal establishments,70
2015,All people,45-64,C00 to D48,Chapter 2 - Neoplasms,Private homes,8090
2015,All people,45-64,D50 to D89,Chapter 3 - Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,All places,194
2015,All people,45-64,D50 to D89,Chapter 3 - Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Elsewhere,3
2015,All people,45-64,D50 to D89,Chapter 3 - Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Local authority care homes,0
2015,All people,45-64,D50 to D89,Chapter 3 - Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,NHS hospices,0
2015,All people,45-64,D50 to D89,Chapter 3 - Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,NHS hospitals,160
2015,All people,45-64,D50 to D89,Chapter 3 - Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Non-NHS hospices,5
2015,All people,45-64,D50 to D89,Chapter 3 - Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Non-NHS hospitals,2
2015,All people,45-64,D50 to D89,Chapter 3 - Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Non-local authority care homes,1
2015,All people,45-64,D50 to D89,Chapter 3 - Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other communal establishments,1
2015,All people,45-64,D50 to D89,Chapter 3 - Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Private homes,22
2015,All people,45-64,E00 to E90,"Chapter 4 - Endocrine, nutritional and metabolic diseases",All places,1036
2015,All people,45-64,E00 to E90,"Chapter 4 - Endocrine, nutritional and metabolic diseases",Elsewhere,28
2015,All people,45-64,E00 to E90,"Chapter 4 - Endocrine, nutritional and metabolic diseases",Local authority care homes,1
2015,All people,45-64,E00 to E90,"Chapter 4 - Endocrine, nutritional and metabolic diseases",NHS hospices,6
2015,All people,45-64,E00 to E90,"Chapter 4 - Endocrine, nutritional and metabolic diseases",NHS hospitals,537
2015,All people,45-64,E00 to E90,"Chapter 4 - Endocrine, nutritional and metabolic diseases",Non-NHS hospices,13
2015,All people,45-64,E00 to E90,"Chapter 4 - Endocrine, nutritional and metabolic diseases",Non-NHS hospitals,1
2015,All people,45-64,E00 to E90,"Chapter 4 - Endocrine, nutritional and metabolic diseases",Non-local authority care homes,31
2015,All people,45-64,E00 to E90,"Chapter 4 - Endocrine, nutritional and metabolic diseases",Other communal establishments,4
2015,All people,45-64,E00 to E90,"Chapter 4 - Endocrine, nutritional and metabolic diseases",Private homes,415
2015,All people,45-64,F00 to F99,Chapter 5 - Mental and behavioural disorders,All places,441
2015,All people,45-64,F00 to F99,Chapter 5 - Mental and behavioural disorders,Elsewhere,22
2015,All people,45-64,F00 to F99,Chapter 5 - Mental and behavioural disorders,Local authority care homes,4
2015,All people,45-64,F00 to F99,Chapter 5 - Mental and behavioural disorders,NHS hospices,0
2015,All people,45-64,F00 to F99,Chapter 5 - Mental and behavioural disorders,NHS hospitals,165
2015,All people,45-64,F00 to F99,Chapter 5 - Mental and behavioural disorders,Non-NHS hospices,3
2015,All people,45-64,F00 to F99,Chapter 5 - Mental and behavioural disorders,Non-NHS hospitals,0
2015,All people,45-64,F00 to F99,Chapter 5 - Mental and behavioural disorders,Non-local authority care homes,68
2015,All people,45-64,F00 to F99,Chapter 5 - Mental and behavioural disorders,Other communal establishments,7
2015,All people,45-64,F00 to F99,Chapter 5 - Mental and behavioural disorders,Private homes,172
2015,All people,45-64,G00 to G99,Chapter 6 - Diseases of the nervous system,All places,1985
2015,All people,45-64,G00 to G99,Chapter 6 - Diseases of the nervous system,Elsewhere,19
2015,All people,45-64,G00 to G99,Chapter 6 - Diseases of the nervous system,Local authority care homes,9
2015,All people,45-64,G00 to G99,Chapter 6 - Diseases of the nervous system,NHS hospices,16
2015,All people,45-64,G00 to G99,Chapter 6 - Diseases of the nervous system,NHS hospitals,978
